,Name,Address,Reviews
0,Benares,"49 Front St E Suite 001, Toronto, Ontario M5E 1B3 Canada",2020-05-04T13:32:24-0400
1,Casa Madera,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",2022-12-21T04:02:39-0500
2,1 Kitchen Toronto,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",2022-02-27T17:11:36-0500
3,Harriet's Rooftop,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",2022-12-21T02:46:04-0500
4,Black + Blue,"130 King St W, Financial District, Toronto, Ontario M5X 2A2 Canada",2023-04-20T12:48:51-0400
5,New Orleans Seafood & Steakhouse,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",2021-06-21T16:52:03-0400
6,Dasha,"620 King St W, Toronto, Ontario M5V 1M6 Canada",2020-02-11T19:53:14-0500
7,LaVinia Restaurant,"2350 Lake Shore Blvd W, Toronto, Ontario M8V 1B6 Canada",2015-10-10T11:43:27-0400
8,ALO RESTAURANT,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",2015-09-11T21:50:45-0400
9,Sportsnet Grill,"1-1 Blue Jays Way Toronto Marriott City Centre Hotel, Toronto, Ontario M5V 1J4 Canada",2019-08-02T08:30:12-0400
10,Goodfellas Wood Oven Pizza,"1 Old Mill Dr, Toronto, Ontario M6S 0A1 Canada",2017-01-09T13:28:34-0500
11,Scaramouche Restaurant,"1 Benvenuto Pl, Toronto, Ontario M4V 2L1 Canada",2016-08-31T16:53:32-0400
12,Moxies,"55 Reading Court Sandman Signature Hotel, Toronto, Ontario M9W 7K7 Canada",2019-08-30T00:45:29-0400
13,Richmond Station,"1 Richmond St. West, Toronto, Ontario M5H 3W4 Canada",2014-08-21T17:47:33-0400
14,Rodney's Oyster House,"469 King St W Basement, Toronto, Ontario M5V 1K4 Canada",2016-10-25T13:42:42-0400
15,Miku,"105-10 Bay St at Queen’s Quay, Toronto, Ontario M5J 2R8 Canada",2017-09-07T16:40:33-0400
16,George Restaurant,"111C Queen St E, Toronto, Ontario M5C 1S2 Canada",2023-02-27T16:15:22-0500
17,Baro,"Toronto, ON 485 King St W, Toronto, Ontario M5V 1K4 Canada",2017-09-07T12:07:17-0400
18,Pai Northern Thai Kitchen,"18 Duncan St, Toronto, Ontario M5H 3G8 Canada",2015-05-24T09:43:35-0400
19,Rasa,"196 Robert St Entrance on Harbord Street, Toronto, Ontario M5S 2K7 Canada",2019-11-30T14:31:26-0500
20,Jacobs & Co. Steakhouse,"12 Brant St, Toronto, Ontario M5V 2M1 Canada",2016-05-14T17:37:32-0400
21,C'est What?,"67 Front St E Downstairs, Toronto, Ontario M5E 1B5 Canada",2019-04-21T16:21:24-0400
22,Cafe Polonez,"195 Roncesvalles Ave, Toronto, Ontario M6R 2L5 Canada",2021-07-06T12:26:54-0400
23,Silent H,"461 King Street West, Toronto, Ontario M5V1K4 Canada",2023-11-17T16:04:18-0500
24,Byblos,"11 Duncan Street, Toronto, Ontario M5V 3M2 Canada",2016-08-11T12:46:35-0400
25,Estiatorio VOLOS,"133 Richmond St W, Toronto, Ontario M5H 2L3 Canada",2019-05-10T18:32:18-0400
26,House on Parliament,"454 Parliament St, Toronto, Ontario M5A 3A2 Canada",2021-08-30T15:58:09-0400
27,The Keg Steakhouse + Bar - York Street,"165 York St, Toronto, Ontario M5H 3R8 Canada",2018-07-29T20:48:49-0400
28,The Keg Steakhouse + Bar - Esplanade,"26 The Esplanade Esplanade, Toronto, Ontario M5E 1A7 Canada",2019-09-28T10:47:05-0400
29,Via Allegro Ristorante,"1750 The Queensway, Toronto, Ontario M9C 5H5 Canada",2022-03-04T18:18:21-0500
30,Lee Restaurant,"497 Richmond St W, Toronto, Ontario M5V 1Y3 Canada",2023-12-05T12:48:15-0500
31,Chiado Restaurant,"864 College St, Toronto, Ontario M6H 1A3 Canada",2020-08-06T19:41:39-0400
32,The Keg Steakhouse + Bar - Mansion,"515 Jarvis St, Toronto, Ontario M4Y 2H7 Canada",2015-09-14T07:07:03-0400
33,Canoe Restaurant & Bar,"66 Wellington St. W 54th Floor TD Bank Tower, Toronto, Ontario M5K 1H6 Canada",2012-07-17T14:53:11-0400
34,Adega,"33 Elm St, Toronto, Ontario M5G 1H1 Canada",2018-12-17T14:42:57-0500
35,Perfect Chinese Restaurant,"4386 Sheppard Ave East Scarborough ON Canada, Toronto, Ontario M1S 1T8 Canada",2021-01-15T09:47:07-0500
36,Benares,"49 Front St E Suite 001, Toronto, Ontario M5E 1B3 Canada",2020-05-04T13:32:24-0400
37,Casa Madera,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",2022-12-21T04:02:39-0500
38,1 Kitchen Toronto,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",2022-02-27T17:11:36-0500
39,Harriet's Rooftop,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",2022-12-21T02:46:04-0500
40,Black + Blue,"130 King St W, Financial District, Toronto, Ontario M5X 2A2 Canada",2023-04-20T12:48:51-0400
41,New Orleans Seafood & Steakhouse,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",2021-06-21T16:52:03-0400
42,Dasha,"620 King St W, Toronto, Ontario M5V 1M6 Canada",2020-02-11T19:53:14-0500
43,LaVinia Restaurant,"2350 Lake Shore Blvd W, Toronto, Ontario M8V 1B6 Canada",2015-10-10T11:43:27-0400
44,ALO RESTAURANT,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",2015-09-11T21:50:45-0400
45,Sportsnet Grill,"1-1 Blue Jays Way Toronto Marriott City Centre Hotel, Toronto, Ontario M5V 1J4 Canada",2019-08-02T08:30:12-0400
46,Goodfellas Wood Oven Pizza,"1 Old Mill Dr, Toronto, Ontario M6S 0A1 Canada",2017-01-09T13:28:34-0500
47,Scaramouche Restaurant,"1 Benvenuto Pl, Toronto, Ontario M4V 2L1 Canada",2016-08-31T16:53:32-0400
48,Moxies,"55 Reading Court Sandman Signature Hotel, Toronto, Ontario M9W 7K7 Canada",2019-08-30T00:45:29-0400
49,Richmond Station,"1 Richmond St. West, Toronto, Ontario M5H 3W4 Canada",2014-08-21T17:47:33-0400
50,Rodney's Oyster House,"469 King St W Basement, Toronto, Ontario M5V 1K4 Canada",2016-10-25T13:42:42-0400
51,Miku,"105-10 Bay St at Queen’s Quay, Toronto, Ontario M5J 2R8 Canada",2017-09-07T16:40:33-0400
52,George Restaurant,"111C Queen St E, Toronto, Ontario M5C 1S2 Canada",2023-02-27T16:15:22-0500
53,Baro,"Toronto, ON 485 King St W, Toronto, Ontario M5V 1K4 Canada",2017-09-07T12:07:17-0400
54,Pai Northern Thai Kitchen,"18 Duncan St, Toronto, Ontario M5H 3G8 Canada",2015-05-24T09:43:35-0400
55,Rasa,"196 Robert St Entrance on Harbord Street, Toronto, Ontario M5S 2K7 Canada",2019-11-30T14:31:26-0500
56,Jacobs & Co. Steakhouse,"12 Brant St, Toronto, Ontario M5V 2M1 Canada",2016-05-14T17:37:32-0400
57,C'est What?,"67 Front St E Downstairs, Toronto, Ontario M5E 1B5 Canada",2019-04-21T16:21:24-0400
58,Cafe Polonez,"195 Roncesvalles Ave, Toronto, Ontario M6R 2L5 Canada",2021-07-06T12:26:54-0400
59,Silent H,"461 King Street West, Toronto, Ontario M5V1K4 Canada",2023-11-17T16:04:18-0500
60,Byblos,"11 Duncan Street, Toronto, Ontario M5V 3M2 Canada",2016-08-11T12:46:35-0400
61,Estiatorio VOLOS,"133 Richmond St W, Toronto, Ontario M5H 2L3 Canada",2019-05-10T18:32:18-0400
62,House on Parliament,"454 Parliament St, Toronto, Ontario M5A 3A2 Canada",2021-08-30T15:58:09-0400
63,The Keg Steakhouse + Bar - York Street,"165 York St, Toronto, Ontario M5H 3R8 Canada",2018-07-29T20:48:49-0400
64,The Keg Steakhouse + Bar - Esplanade,"26 The Esplanade Esplanade, Toronto, Ontario M5E 1A7 Canada",2019-09-28T10:47:05-0400
65,Via Allegro Ristorante,"1750 The Queensway, Toronto, Ontario M9C 5H5 Canada",2022-03-04T18:18:21-0500
66,Lee Restaurant,"497 Richmond St W, Toronto, Ontario M5V 1Y3 Canada",2023-12-05T12:48:15-0500
67,Chiado Restaurant,"864 College St, Toronto, Ontario M6H 1A3 Canada",2020-08-06T19:41:39-0400
68,The Keg Steakhouse + Bar - Mansion,"515 Jarvis St, Toronto, Ontario M4Y 2H7 Canada",2015-09-14T07:07:03-0400
69,Canoe Restaurant & Bar,"66 Wellington St. W 54th Floor TD Bank Tower, Toronto, Ontario M5K 1H6 Canada",2012-07-17T14:53:11-0400
70,Adega,"33 Elm St, Toronto, Ontario M5G 1H1 Canada",2018-12-17T14:42:57-0500
71,Perfect Chinese Restaurant,"4386 Sheppard Ave East Scarborough ON Canada, Toronto, Ontario M1S 1T8 Canada",2021-01-15T09:47:07-0500
72,Chez Fatima,"125 Promenade Du Portage, Gatineau, Quebec J8X 2K2 Canada",2019-07-08T21:11:50-0400
73,Aperitivo,"655 Kanata Ave Unit L2 Along the Pedestrian Walkway, Ottawa, Ontario K2T 1H6 Canada",2017-11-21T09:19:55-0500
74,L'Oree Du Bois,"15, Chemin Kingsmere Chemin Kingsmere, Chelsea, Quebec J9B 1R7 Canada",2021-12-16T23:07:24-0500
75,Gezellig,"337 Richmond Rd, Ottawa, Ontario K2A 0E7 Canada",2017-03-24T16:23:36-0400
76,Cumberland Pizza,"152 Nelson St, Ottawa, Ontario K1N 7R5 Canada",2018-07-13T15:56:58-0400
77,Hunter's Public House Restaurant,"4750 Bank St Unit 1, Ottawa, Ontario K1T 0K8 Canada",2021-10-05T13:50:13-0400
78,La Bottega Nicastro,"64 George St, Ottawa, Ontario K1N 5V9 Canada",2018-05-30T17:26:11-0400
79,Le Baccara,"1 boulevard du Casino, Gatineau, Quebec J8Y 6W3 Canada",2012-07-13T09:33:41-0400
80,Sansotei Ramen,"153 Bank St, Ottawa, Ontario K1P 5N7 Canada",2018-10-27T16:37:39-0400
81,Absinthe,"1208 Wellington St W, Ottawa, Ontario K1Y 2Z7 Canada",2017-07-08T22:21:15-0400
82,Les Fougeres,"783 Route 105, Chelsea, Quebec J9B 1P1 Canada",2019-05-31T16:37:42-0400
83,The Brig Pub,"23 York St, Ottawa, Ontario K1N 5S7 Canada",2019-06-12T15:56:51-0400
84,Beckta Dining & Wine,"150 Elgin Street, Ottawa, Ontario K2P 1L4 Canada",2016-03-06T06:53:55-0500
85,FRASER,"7 Springfield Rd, Ottawa, Ontario K1M 1C8 Canada",2021-06-22T11:29:44-0400
86,Play Food & Wine,"1 York St Sussex Dr., Ottawa, Ontario K1N 5S7 Canada",2017-06-21T11:38:39-0400
87,1 Elgin,"1 Elgin Street National Arts Centre, Ottawa, Ontario K1N 5W1 Canada",2019-02-18T16:31:30-0500
88,The Green Door,"198 Main St, Ottawa, Ontario K1S 1C6 Canada",2021-07-27T22:46:48-0400
89,Sterling,"835 rue Jacques-Cartier, Gatineau, Quebec J8T 2W3 Canada",2013-01-16T12:28:44-0500
90,Aroma Meze,"239 Nepean St, Ottawa, Ontario K2P 0B7 Canada",2013-01-13T10:54:54-0500
91,The Whalesbone Oyster House,"430 Bank St, Ottawa, Ontario K2P 1Y8 Canada",2019-04-02T20:02:25-0400
92,Pelican Seafood Market and Grill,"1500 Bank St. The Blue Heron mall, Ottawa, Ontario K1H 1B8 Canada",2020-08-06T13:04:29-0400
93,NeXT,"6400 Hazeldean Rd, Stittsville, Ottawa, Ontario K2S 1S4 Canada",2018-07-14T12:37:46-0400
94,Courtyard Restaurant,"21 George St, Ottawa, Ontario K1N 8W5 Canada",2023-12-08T15:32:06-0500
95,Town,"296 Elgin St Downtown, Ottawa, Ontario K2P 1M3 Canada",2017-07-17T20:59:17-0400
96,Shinka Sushi Bar,"2900 Sheffield Road Unit 3, Ottawa, Ontario K1B 1A4 Canada",2014-04-07T23:00:21-0400
97,Petit Bill's Bistro,"1293 Wellington St W, Ottawa, Ontario K1Y 3B1 Canada",2021-06-24T14:32:38-0400
98,Chez Lucien,"137 Murray St, Ottawa, Ontario K1N 5M7 Canada",2016-07-31T03:33:16-0400
99,Coconut Lagoon,"853 St. Laurent Blvd, Ottawa, Ontario K1K 3B1 Canada",2014-06-26T09:59:55-0400
100,The Keg Steakhouse + Bar - Ottawa Market,"75 York St, Ottawa, Ontario K1N 5T2 Canada",2019-01-31T21:44:07-0500
101,Sidedoor Contemporary Kitchen & Bar,"18 B York Street, Ottawa, Ontario K1N 5T5 Canada",2020-01-15T02:11:29-0500
102,Benares,"49 Front St E Suite 001, Toronto, Ontario M5E 1B3 Canada",2020-05-04T13:32:24-0400
103,Casa Madera,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",2022-12-21T04:02:39-0500
104,1 Kitchen Toronto,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",2022-02-27T17:11:36-0500
105,Harriet's Rooftop,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",2022-12-21T02:46:04-0500
106,Black + Blue,"130 King St W, Financial District, Toronto, Ontario M5X 2A2 Canada",2023-04-20T12:48:51-0400
107,New Orleans Seafood & Steakhouse,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",2021-06-21T16:52:03-0400
108,Dasha,"620 King St W, Toronto, Ontario M5V 1M6 Canada",2020-02-11T19:53:14-0500
109,LaVinia Restaurant,"2350 Lake Shore Blvd W, Toronto, Ontario M8V 1B6 Canada",2015-10-10T11:43:27-0400
110,ALO RESTAURANT,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",2015-09-11T21:50:45-0400
111,Sportsnet Grill,"1-1 Blue Jays Way Toronto Marriott City Centre Hotel, Toronto, Ontario M5V 1J4 Canada",2019-08-02T08:30:12-0400
112,Goodfellas Wood Oven Pizza,"1 Old Mill Dr, Toronto, Ontario M6S 0A1 Canada",2017-01-09T13:28:34-0500
113,Scaramouche Restaurant,"1 Benvenuto Pl, Toronto, Ontario M4V 2L1 Canada",2016-08-31T16:53:32-0400
